,beer_kor_name,beer_eng_name,class,country,description
91,칭따오 퓨어 드래프트,Tsingtao Draft Beer 11º (Pure Draft Beer),Pale Lager - International / Premium,🇨🇳 ,"Tsingtao Pure Draft is a smooth, crisp and light-tasting draft beer. It is brewed with domestically-grown hops, select barley, all-natural yeast and pure spring water from China’s Laoshan Mountains. Tsingtao Pure Draft is brewed with an exclusive low temperature filtration process preserving the beer’s true flavor to create an incredibly refreshing beer-drinking experience. It is the perfect accompaniment to Pan-Asian cuisine and light appetizers.



4.3% alcohol by volume, 3.38% alcohol by weight, 132 calories per 11.2 oz. bottle."
92,파울라너 오리지널 뮌헨,Paulaner Original Münchner Hell (Premium Lager),Helles / Dortmunder Export,🇩🇪 ,"When the Original Münchner was brewed for the first time at the end of the 19th Century, it was a spectacular success. With its hoppy taste, subtle, light and elegant, it becomes ever popular. Today the Paulaner Original Münchner is the best sold Münchner Hellbier (lager beer) in the world and Paulaner's No. 1 export beer in over 30 countries with its wonderfully subtle, spicy, naturally hearty taste."
93,파울라너 옥토버페스트 맥주,Paulaner Oktoberfest Bier (Wiesn Bier),Märzen / Oktoberfest Bier,🇩🇪 ,"Please note, this is NOT the Oktoberfest Märzen, which is also sold in the US.


Also sold as Paulaner Wiesn Bier in 1L cans"
94,파울라너 살베이터,Paulaner Salvator,Bock - Doppelbock,🇩🇪 ,"The Paulaner Salvator with its strong,typically malty taste is the original Paulaner. The bottom-fermented Doppelbock-Bier unites the finest hops and dark barley malt. The Paulaner monks served Salvator as a replacement for food at Lent. Their most famous brewer was Brother Barnabas, who was the head of the Paulaner monastery brewery starting from 1773. Its original recipe is today almost the same as it was in Barnabas’ time. In order to protect the original recipe, Paulaner had the trade mark ""Salvator"" patented in 1896.



Original wort 18,3%

alcohol 7,9%

calories 68,0 kcal/100 m
"
95,파울라너 헤페 바이스비어,Paulaner Hefe-Weissbier,Weissbier - Hefeweizen,🇩🇪 ,"Unfiltered bottles and cans.

""Naturtrüb"".

Ingredients: Water; Malted wheat; Malted barley; Yeast; Hops."
96,파타고니아,Patagonia,Pale Lager - International / Premium,🇦🇷 ,Pura Cerveza Argentina for export to Canada.  Editor's Note:  Possible alias of Chilean beer Patagonia?
97,파타고니아 앰버 라거,Patagonia Amber Lager,Amber Lager - International / Vienna,🇦🇷 ,"A beer unique and with identity. An equilibrated combination of hops from Patagonia and the blend of fine malts is perceived in its taste, delicate aroma and amber color."
98,파타고니아 바이스,Patagonia Weisse,Witbier / Belgian White Ale,🇦🇷 ,
99,파타고니아 보헤미안 필스너,Patagonia Bohemian Pilsener,Pilsener / Pils / Pilsner,🇦🇷 ,La combinación de maltas seleccionadas y lúpulo patagónica origina una cerveza de gran cuerpo y amargor equilibrado.
100,페로니,Peroni,Pale Lager - International / Premium,🇮🇹 ,"Bottle &amp; can; Filtered. 

Ingredients: Water; Barley Malt; Corn grits; Hop pellets; Hop extract.

The original Italian lager. Peroni is the number one lager brand in Italy and has been for over one and a half centuries. This premium, clear, golden-yellow lager, with 4.7 ABV, is the result of the dedication to brewing of generations of the most qualified braumeisters.


Brewed using the finest spring barley malts and hops, its taste is slightly bitter. A refreshing smooth lager, Peroni is suitable for all occasions.
10.65°"
101,필굿,Happoshu Filgood,Pale Lager - American,🇰🇷 ,Happoshu. FilGood. Cool refreshing taste of unique aromatic hop.
102,필라이트,FiLite,Pale Lager - International / Premium,🇰🇷 ,A perfectly balanced barley flavor is created by using 100% aroma hops.
103,필라이트 후레쉬,Filite Fresh Cool & Clear,Pale Lager - International / Premium,🇰🇷 ,Filite Fresh Cool &amp; Clear
104,필라이트 바이젠,Filite Weizen,Witbier / Belgian White Ale,🇰🇷 ,Filite Weizen Soft &amp; Rich- Wheat 3.38% Wheat Malt 0.96%
105,필스너 우르켈,Pilsner Urquell,Pilsener - Bohemian / Czech,🇨🇿 ,"It is called the ""model of meter"" among beers. All other pilsners are a better or worse attempt to copy the original - the first ever Pilsner Urquell. Its unparalleled exceptionality is guaranteed by the same recipe dating from 1842."
106,핏츠,Fitz Super Clear,Pale Lager - American,🇰🇷 ,
107,하얼빈,Harbin Beer,Pale Lager - International / Premium,🇨🇳 ,"Filtered bottle.

Ingredients: Two-row malt, European and Chinese “Qindao Dahua” hops, rice, and German yeast.

Harbin Beer, the earliest Chinese beer, brewed in 1900 in the origin of the beer industry in China. With hundred years of infusion of China’s traditional culture Harbin Beer brings a pure good taste. 
Inspired by the Tradition and Culture of China’s Most Northern Province of Hellongjiang. 

NOTE: Under this entry, rate ONLY exported Harbin that roughly matches the ABV and local Harbin that matches it completely. If it differs in any way and doesn’t match the other entries under the brewer, please send in a bug report with the alcohol percentage, degrees plato (important!), the GTIN and preferably a link to a picture of both the front and the back label so that we can set up an entry."
108,하이네켄,Heineken,Pale Lager - International / Premium,🇳🇱 ,"100% Barley malt, choice hops and pure water give this brew unsurpassed clarity."
109,하이네켄 논알코올,Heineken 0.0,Low / No Alcohol Beer - Pale,🇳🇱 ,"Onze meesterbrouwers hebben lange tijd gebrouwen en geproefd om tot een goed smakend 0.0 bier te komen: een alcoholvrij bier met een verfrissend en fruitige smaak, gecombineerd met een zacht moutige body. Een 0.0 bier gebrouwen met de kwaliteit die je sinds 1873 van ons kunt verwachten: met natuurlijke ingrediënten en een verfrissend smaak dankzij Heineken’s unieke A-gist. Benieuwd? Proef het zelf!

Introduced in Holland in March 2017"
110,하이네켄 다크라거,Heineken Dark Lager,Dark Lager - International / Premium,🇳🇱 ,
111,하이트,Hite Beer,Pale Lager - International / Premium,🇰🇷 ,"ABV may vary around 4.5% ABV. 
The No. 1 selling KOREAN Beer Brewed &amp; bottled in Korea at HITE Brewery co. ltd. Seoul. Brewed form Purest underground well water, Canadian Harrington barley, Parle Aroma and Yakima hops, yeast and no additives or preservative."
112,하이트 엑스트라 콜드,Hite Extra Cold,Pale Lager - International / Premium,🇰🇷 ,
113,하이트 제로,Hite Zero,Low / No Alcohol Beer - Pale,🇰🇷 ,
114,호가든,Hoegaarden,Wheat Ale,🇰🇷 ,"Infused with green grape, made in korea, OB COMPANY"
115,호가든 로제,Hoegaarden Rosée,Flavored - Fruit,🇧🇪 ,"The story of the jam jars gave us an idea. Hoegaarden Rosée. It might be pink but it is very much a wheat beer. It also features the soft taste and subtle colour of raspberries. And while it doesn’t feature a higher alcohol percentage, it does mean you can enjoy it even more in the sun.


Ingredients: water, barley malt, unmalted wheat, fruits (10%), raspberry (6%), sugar, sweetener, hops, yeast."
116,홉 하우스 13,Hop House 13 Lager,Pale Lager - International / Premium,🇮🇪 ,"Named after an early 1900’s hop store building at St. James’s Gate where hops are still stored, Hop House 13 is a double-hopped lager made with Irish barley and aromatic hops and continues the 256 years of heritage and brewing excellence at St. James’s Gate.
A crisp and full-flavoured lager with subtle malty notes and fresh hop aromas with hints of Apricot and Peach."
117,홉탄두 IPA,Kabrew Hoptandu IPA,IPA,🇰🇷 ,"Description: Generous amount of hops make rich scent and bitter taste, Recognized by European Beer Star

Spec: ABV 6.3% / IBU 75 / SRM 8

Food Pairing: Cheese Burger, Mac and cheese, Taco

Award: 2017 European Beer Star Traditional IPA Gold Medal and 3 more"
